avg_A_AS_min,avg_A_AS_max,avg_A_AS_avg,avg_A_AS_std,avg_A_AS_median,avg_A_prefix_min,avg_A_prefix_max,avg_A_prefix_avg,avg_A_prefix_std,avg_A_prefix_median,avg_editdist_min,avg_editdist_max,avg_editdist_avg,avg_editdist_std,avg_editdist_median,avg_interarrival_min,avg_interarrival_max,avg_interarrival_avg,avg_interarrival_std,avg_interarrival_median,avg_path_len_min,avg_path_len_max,avg_path_len_avg,avg_path_len_std,avg_path_len_median,editdist_10_min,editdist_10_max,editdist_10_avg,editdist_10_std,editdist_10_median,editdist_11_min,editdist_11_max,editdist_11_avg,editdist_11_std,editdist_11_median,editdist_12_min,editdist_12_max,editdist_12_avg,editdist_12_std,editdist_12_median,editdist_13_min,editdist_13_max,editdist_13_avg,editdist_13_std,editdist_13_median,editdist_14_min,editdist_14_max,editdist_14_avg,editdist_14_std,editdist_14_median,editdist_15_min,editdist_15_max,editdist_15_avg,editdist_15_std,editdist_15_median,editdist_16_min,editdist_16_max,editdist_16_avg,editdist_16_std,editdist_16_median,editdist_17_min,editdist_17_max,editdist_17_avg,editdist_17_std,editdist_17_median,editdist_7_min,editdist_7_max,editdist_7_avg,editdist_7_std,editdist_7_median,editdist_8_min,editdist_8_max,editdist_8_avg,editdist_8_std,editdist_8_median,editdist_9_min,editdist_9_max,editdist_9_avg,editdist_9_std,editdist_9_median,max_A_AS_min,max_A_AS_max,max_A_AS_avg,max_A_AS_std,max_A_AS_median,max_A_prefix_min,max_A_prefix_max,max_A_prefix_avg,max_A_prefix_std,max_A_prefix_median,max_editdist_min,max_editdist_max,max_editdist_avg,max_editdist_std,max_editdist_median,max_path_len_min,max_path_len_max,max_path_len_avg,max_path_len_std,max_path_len_median,nb_A_min,nb_A_max,nb_A_avg,nb_A_std,nb_A_median,nb_A_prefix_min,nb_A_prefix_max,nb_A_prefix_avg,nb_A_prefix_std,nb_A_prefix_median,nb_W_min,nb_W_max,nb_W_avg,nb_W_std,nb_W_median,nb_W_prefix_min,nb_W_prefix_max,nb_W_prefix_avg,nb_W_prefix_std,nb_W_prefix_median,nb_dup_A_min,nb_dup_A_max,nb_dup_A_avg,nb_dup_A_std,nb_dup_A_median,nb_dup_W_min,nb_dup_W_max,nb_dup_W_avg,nb_dup_W_std,nb_dup_W_median,nb_implicit_W_min,nb_implicit_W_max,nb_implicit_W_avg,nb_implicit_W_std,nb_implicit_W_median,nb_new_A_min,nb_new_A_max,nb_new_A_avg,nb_new_A_std,nb_new_A_median,nb_new_A_afterW_min,nb_new_A_afterW_max,nb_new_A_afterW_avg,nb_new_A_afterW_std,nb_new_A_afterW_median,nb_orign_change_min,nb_orign_change_max,nb_orign_change_avg,nb_orign_change_std,nb_orign_change_median,nb_tolonger_min,nb_tolonger_max,nb_tolonger_avg,nb_tolonger_std,nb_tolonger_median,nb_toshorter_min,nb_toshorter_max,nb_toshorter_avg,nb_toshorter_std,nb_toshorter_median
10,94,47.03333333333333,21.74502995361505,44.5,1,27,8.883333333333333,5.587794406354229,7.5,2,4,2.15,0.4443620450923369,2.0,1000,1000,1000.0,0.0,1000.0,5,6,5.966666666666667,0.18102033471939247,6.0,0,208,15.833333333333334,27.9673942519309,9.0,0,999,49.916666666666664,179.90423927949686,11.0,0,68,7.75,12.436448618367226,3.0,0,139,7.85,19.458626251439753,2.0,0,9,1.3,2.1336687589411243,0.0,0,53,1.25,6.927285769736457,0.0,0,22,1.4333333333333333,4.716960622490322,0.0,0,31,1.7666666666666666,5.3468402412052445,0.0,81,922,181.93333333333334,128.72291443470726,142.5,24,403,88.86666666666666,67.6815741559399,65.5,2,197,36.21666666666667,32.926776320649076,26.5,1018,4140,1699.3,776.6796407829805,1381.5,564,910,741.0,80.55169936870631,741.5,9,26,15.95,4.188058083225993,14.0,21,32,23.416666666666668,2.757373269006713,23.0,13510,54454,24889.2,9849.557332907772,20240.5,571,35958,5431.3,6627.3806424303875,2854.5,516,2483,932.5666666666667,334.82509305285515,857.5,89,413,161.06666666666666,56.962927779766886,150.5,3399,38698,10249.383333333333,8345.329352584435,6972.0,0,3,0.11666666666666667,0.4903014177279,0.0,9458,38524,13703.466666666667,4178.517868232855,12623.0,109,1283,379.26666666666665,239.63360921762757,321.5,358,844,557.0833333333334,110.8992964576523,558.0,0,464,53.166666666666664,74.41937206032519,31.0,2724,14027,4188.333333333333,1719.502043277692,3791.0,6591,24497,9515.133333333333,2783.0824848563366,8734.0
16,111,49.55,19.173096440550342,48.0,2,22,8.483333333333333,4.272464722178509,7.0,1,2,1.9833333333333334,0.12909944487358052,2.0,1000,1000,1000.0,0.0,1000.0,5,6,5.433333333333334,0.4997174342809082,5.0,0,108,23.5,24.52912485397094,15.0,0,110,16.166666666666668,20.03316459313953,9.5,0,260,17.733333333333334,47.643402327192526,5.0,0,39,3.783333333333333,8.354622523736444,0.0,0,45,3.5166666666666666,9.031942686961925,0.0,0,20,0.9,3.6901150595262444,0.0,0,28,1.4166666666666667,4.150930737641928,0.0,0,6,0.6833333333333333,1.5783671745994676,0.0,18,1289,130.01666666666668,177.28264244063624,89.5,5,622,63.61666666666667,86.53148572975546,37.5,2,78,25.75,16.849910727520896,22.5,694,7448,2182.5,1645.3379592047345,1637.5,587,1017,800.5833333333334,97.56567395587078,804.5,9,22,14.716666666666667,2.3799420778214984,15.0,15,32,20.333333333333332,3.3681794442044777,19.0,7429,41974,19981.566666666666,8906.220237995669,17856.5,561,13173,3231.35,3076.205982749706,2160.0,464,3337,1105.1833333333334,560.5677355665345,1001.0,55,903,238.88333333333333,161.36694594289702,198.5,2119,26775,7943.416666666667,5362.6711415673135,6798.0,0,1,0.016666666666666666,0.12909944487358055,0.0,3858,27139,10826.816666666668,4943.98395755881,10540.0,101,4522,563.0833333333334,709.3292437145818,390.5,257,2396,648.25,406.4587299499696,566.5,0,169,38.85,40.120084576688996,24.5,973,9319,2628.2,1427.1258992126059,2142.0,2885,22198,8198.616666666667,3864.114563394769,8001.0
14,92,35.38333333333333,13.510939279931232,33.5,2,17,6.716666666666667,2.9578488900714945,7.0,1,2,1.9,0.3025316904537666,2.0,1000,1008,1000.1333333333333,1.0327955589886446,1000.0,5,8,5.366666666666666,0.6097142055335256,5.0,0,201,27.733333333333334,49.32591943069704,10.0,0,173,23.6,33.35540512192076,8.5,0,48,8.866666666666667,10.185510923285172,7.0,0,25,4.3,5.6005447676913755,2.0,0,42,4.283333333333333,9.03494471420277,0.0,0,22,1.5333333333333334,4.085802896706407,0.0,0,63,1.8333333333333333,8.178447630798738,0.0,0,21,1.35,4.028815698465666,0.0,11,533,127.75,100.3687480903311,90.5,8,250,72.2,59.33095913487667,49.5,0,171,51.56666666666667,43.338387362810806,38.0,548,14015,2285.366666666667,2599.73976511644,1339.0,545,868,715.3,82.35769442200571,711.0,10,27,15.9,4.136239182672007,16.0,13,31,22.05,4.795566455291663,22.0,7537,94426,25360.633333333335,17618.79983789144,20330.0,733,21198,4940.166666666667,4374.544222909637,3864.0,252,2169,652.9333333333333,312.0067288858631,554.5,50,483,123.06666666666666,69.25434983992999,102.5,2187,37752,8070.783333333334,7091.782301121289,5656.0,0,0,0.0,0.0,0.0,4669,56172,16532.083333333332,13389.897722792217,10601.5,78,4123,398.15,575.4505331491969,271.5,200,890,359.6166666666667,127.94160369012991,326.0,0,7103,283.23333333333335,1116.8575826339745,37.5,1041,30430,5629.25,6946.562363158791,2570.0,3628,33596,10902.833333333334,7669.386003238243,7816.0
14,122,54.53333333333333,28.06437313655915,48.0,2,26,9.983333333333333,5.797403471007492,9.0,1,2,1.9833333333333334,0.12909944487358052,2.0,1000,1000,1000.0,0.0,1000.0,3,7,5.2,0.8192596906219458,5.0,0,170,20.433333333333334,31.608498463882196,8.0,0,82,12.966666666666667,14.701512278566316,8.5,0,336,25.516666666666666,61.806557621111295,6.0,0,68,10.75,15.212199609167392,5.0,0,43,7.833333333333333,10.354998247250697,3.0,0,26,2.7333333333333334,4.266013368063581,1.0,0,26,1.7166666666666666,4.384455077621804,0.0,0,32,2.4833333333333334,5.95603003562866,0.0,11,286,64.61666666666666,58.98321843115358,47.0,6,327,52.083333333333336,52.02844452362594,34.0,1,152,33.6,35.746375897851635,21.0,597,63355,6125.983333333334,11461.154809877957,1820.0,577,975,757.3166666666667,95.82513941880161,742.5,12,29,17.05,3.8726551133710116,16.0,13,31,23.016666666666666,4.035821243234719,22.0,7415,123026,25638.2,22517.608097528882,18962.0,597,16737,4119.716666666666,4452.647112470524,1871.5,335,2562,791.5,459.13295220078703,645.0,45,590,166.66666666666666,123.00911729564241,127.0,1921,34075,9601.783333333333,8389.596970364024,6535.5,0,0,0.0,0.0,0.0,4351,90669,15236.216666666667,15565.923913833156,10699.0,96,2224,297.9,289.716208307254,238.0,209,1906,502.3,348.7030838377632,391.5,0,786,53.81666666666667,103.38499574228733,30.0,733,60225,4702.7,9107.912315999329,2331.5,3618,48899,10533.516666666666,8776.725831524614,8027.5
23,337,51.25,39.822327865283945,45.0,3,28,10.0,4.551028939347634,10.5,1,2,1.9833333333333334,0.12909944487358052,2.0,1000,1008,1000.1333333333333,1.03279555898864,1000.0,4,6,5.133333333333334,0.535729082389144,5.0,0,136,18.966666666666665,30.97235873564875,8.0,0,108,13.0,20.318648026557245,7.5,0,60,7.6,12.022859582577388,3.0,0,97,5.816666666666666,13.546519556343448,1.0,0,54,2.8333333333333335,7.567026298728562,0.0,0,82,2.316666666666667,10.764807171813516,0.0,0,243,4.4,31.35591204763439,0.0,0,104,1.85,13.41871321724925,0.0,7,214,39.65,45.54075284282777,24.0,0,140,28.483333333333334,28.166268843511588,18.0,0,207,15.366666666666667,28.882559787647036,9.0,597,52051,2437.883333333333,6636.07167361419,936.5,411,973,755.7666666666667,98.5251179651996,756.5,9,27,15.55,4.563766657235546,14.5,14,29,20.433333333333334,3.752362720833444,19.0,7596,64368,15044.383333333333,10478.848667336399,11639.5,527,12235,2322.45,3002.00871973914,1130.0,315,1311,654.8833333333333,215.98125245592354,612.5,54,563,142.35,106.44371871668753,110.5,2042,34518,6048.133333333333,7764.52359953163,3239.5,0,0,0.0,0.0,0.0,5028,30793,8305.2,3466.397943843832,7794.5,91,1273,290.28333333333336,195.63370231181023,222.0,222,1058,400.76666666666665,159.670568344577,356.5,0,95,25.2,23.799871812786815,18.5,918,9723,1960.6166666666666,1296.266949014494,1573.5,3943,21070,6344.583333333333,2439.2480523174477,5816.5
14,94,37.266666666666666,17.220274478281247,33.5,2,17,7.35,4.2058272730638215,7.5,2,3,2.0166666666666666,0.12909944487358055,2.0,1000,1000,1000.0,0.0,1000.0,4,7,5.233333333333333,0.5325559305923082,5.0,0,1480,49.28333333333333,206.6014825669701,10.0,0,81,14.116666666666667,15.637950000751017,9.5,0,76,12.633333333333333,17.100863955443856,6.0,0,32,4.916666666666667,6.931362442603508,2.0,0,17,2.7,4.1016739038542935,1.0,0,14,0.7833333333333333,2.263128677832831,0.0,0,12,0.7833333333333333,2.1946905628508695,0.0,4,34,15.25,5.870422847357733,15.0,15,600,118.25,123.71599858177093,67.0,5,612,64.05,95.05830949154223,34.5,1,116,24.516666666666666,26.359632508604903,15.0,650,6793,2363.4166666666665,1662.5274641969193,1820.5,528,889,737.55,81.76411400475793,731.5,17,55,22.166666666666668,9.096780333138673,19.0,20,62,27.0,10.673902912703978,23.0,9471,73760,23460.533333333333,13826.314926852247,19130.5,676,22236,5900.233333333334,6462.897687640117,2797.5,429,4490,1066.4166666666667,668.0649083370661,844.5,83,1970,283.01666666666665,343.95483994400183,191.0,2409,46768,10486.0,10141.219717367934,6479.5,0,3,0.06666666666666667,0.4061671471357935,0.0,6174,33312,11922.433333333332,5306.966966668508,10125.0,59,4155,463.3,585.0460013783647,301.0,287,2157,588.8,350.09576413860907,472.5,11,294,56.88333333333333,40.84866309729314,48.0,1190,9948,3110.0666666666666,1945.5089601757927,2698.0,4861,23490,8812.366666666667,3992.6934325499724,7668.5
9,87,40.46666666666667,18.635183296581097,39.5,1,21,8.716666666666667,4.8645785319784185,10.0,1,3,1.9333333333333333,0.40616714713579366,2.0,1000,1000,1000.0,0.0,1000.0,4,7,5.333333333333333,0.6013168224022631,5.0,0,247,18.35,34.13523702539153,9.5,0,108,14.1,18.20383643677753,10.0,0,68,10.35,11.918970777998394,6.5,0,32,4.933333333333334,6.849141147857653,2.5,0,30,3.183333333333333,5.814918472013017,1.0,0,26,1.3166666666666667,4.428305206921686,0.0,0,15,0.9,2.3194096268122095,0.0,0,33,1.0666666666666667,4.429740271173524,0.0,10,590,76.25,84.28656225206475,61.0,0,1184,95.86666666666666,187.54483908299548,42.0,5,554,55.53333333333333,85.53529684083476,27.0,656,13609,2565.5333333333333,2611.14943497139,1545.5,575,998,774.8,96.39779869488898,772.0,9,21,15.1,2.666172270554022,15.0,15,28,20.883333333333333,2.8289763775317684,21.0,9133,108674,24515.833333333332,24046.988036608003,14237.5,814,84160,8793.966666666667,19150.858856668085,1528.5,492,18192,1186.6,2262.0587458091195,792.0,79,17848,490.5833333333333,2284.0061169117735,148.5,2042,89463,11115.933333333332,19567.895050499035,4213.5,0,1,0.03333333333333333,0.18102033471939252,0.0,6006,51331,12202.283333333333,7945.737994314548,9218.0,129,18201,708.7833333333333,2319.5954139597875,294.0,242,1341,488.8333333333333,227.33557415599557,435.0,3,93,41.7,22.147655498219137,37.5,871,8067,2626.983333333333,1545.4792081320154,2137.5,4461,45254,9575.3,7116.834969020371,7021.0
19,216,58.56666666666667,36.50649659697997,50.5,3,25,9.583333333333334,4.592889370359532,10.0,1,3,2.033333333333333,0.2581988897471611,2.0,1000,1000,1000.0,0.0,1000.0,5,6,5.4,0.49403218175557095,5.0,0,223,50.11666666666667,58.054939399680414,24.5,0,402,46.56666666666667,71.21901447365633,22.5,0,211,44.78333333333333,45.490208172177255,34.0,0,168,15.15,26.310289924898267,6.0,0,101,5.666666666666667,14.571468135222998,1.0,0,8,0.6666666666666666,1.3859667942639393,0.0,0,14,0.6666666666666666,2.333736849693174,0.0,0,15,0.8666666666666667,2.6963042293434065,0.0,25,591,161.38333333333333,126.94468188895118,121.0,10,369,84.8,77.33129258947714,63.5,1,291,48.166666666666664,57.75611103235674,28.5,667,18685,4422.966666666666,4064.184676366937,3268.0,493,1005,728.2833333333333,100.55592788477647,723.5,11,25,15.583333333333334,3.195821777909117,14.5,14,33,21.4,4.431015493663361,20.5,8973,80655,27389.166666666668,15594.846723986511,21952.0,871,18497,4071.9333333333334,4089.804491065709,2610.5,510,8667,2090.9333333333334,2182.8095553213666,1145.0,82,1077,353.5833333333333,270.5813760654016,231.0,2142,45378,10697.383333333333,9314.145620891653,6635.5,0,1,0.016666666666666666,0.12909944487358055,0.0,6289,32519,14447.266666666666,6831.437409522682,12325.0,106,7779,1316.25,1472.8010281922225,609.5,267,5451,928.2666666666667,1046.4505279011678,522.5,11,1704,124.43333333333334,269.924306192396,45.0,1210,11521,3876.116666666667,2589.4102730987565,2662.0,4840,23679,10571.15,4495.481282373388,9329.0
10,108,46.583333333333336,19.601359055845034,45.0,1,24,10.133333333333333,4.872846474942709,10.0,1,3,2.066666666666667,0.3117292755628477,2.0,1000,1000,1000.0,0.0,1000.0,4,7,5.466666666666667,0.5664838521990366,5.0,0,473,46.4,86.70213963305146,17.0,0,265,29.95,49.415713208092086,11.0,0,288,22.0,41.557801282763116,10.5,0,136,12.833333333333334,23.4066242012208,5.5,0,41,4.583333333333333,7.596367701730019,1.5,0,20,1.75,3.8117792455688138,0.0,0,65,4.416666666666667,14.077619775056913,0.0,0,54,2.6166666666666667,8.671190692321261,0.0,17,497,74.18333333333334,68.44111453061012,56.0,21,250,90.96666666666667,53.565409616137856,73.5,4,368,50.18333333333333,57.03388575481935,35.0,624,15968,2721.883333333333,2858.777065143781,1809.0,624,1023,789.3833333333333,90.98464978871515,796.5,12,23,15.65,2.26113066062242,15.0,15,35,21.916666666666668,4.030778478314447,21.0,10595,116112,22158.366666666665,16221.812935492884,17159.5,757,98511,4681.783333333334,12924.68813785209,1659.0,437,7896,1071.7833333333333,969.3523627181935,838.5,88,662,200.2,105.7882118324715,182.0,2558,103986,9669.05,14923.492829019504,4942.0,0,1,0.016666666666666666,0.12909944487358055,0.0,6892,23334,11442.766666666666,3537.6394474122158,10527.5,175,5424,482.65,679.964924942855,345.0,301,2362,563.9,282.35100765788627,509.5,13,829,66.16666666666667,112.35675123472821,44.5,1486,6250,2865.483333333333,1167.3959503108872,2376.0,5283,17140,8577.283333333333,2708.0653428993237,7724.5
14,101,49.63333333333333,19.235354690166155,48.5,3,21,10.433333333333334,4.662750576414431,10.0,1,3,2.05,0.28671133537149956,2.0,1000,1000,1000.0,0.0,1000.0,5,7,5.366666666666666,0.5513209612012651,5.0,0,1971,107.3,349.2733522275514,9.5,0,243,23.866666666666667,47.61372351188958,4.5,0,70,12.083333333333334,15.956818495463784,7.0,0,14,3.3,3.915635758064138,1.5,0,70,6.05,14.307074225059292,0.5,0,10,1.05,2.3392378883527614,0.0,0,8,0.9,2.0724177315969117,0.0,0,31,0.9666666666666667,4.737040006438501,0.0,6,466,96.95,104.17967286034323,52.0,1,424,41.7,60.56102119462314,28.0,0,572,86.8,150.27283661303798,16.0,635,8672,2189.633333333333,1436.6782776412845,1891.5,598,1026,778.5,98.46095328623372,785.0,10,29,14.85,3.4973355475566525,14.0,14,31,20.683333333333334,3.7933557732697416,20.5,8802,56052,18021.866666666665,9300.303690078277,14974.0,720,14152,2726.383333333333,3397.5818873241956,1530.5,408,2290,869.15,396.5254528346985,745.5,57,402,140.58333333333334,62.69303523252535,122.5,2465,39814,7094.733333333334,7271.160287580216,4371.5,0,1,0.016666666666666666,0.12909944487358055,0.0,5951,20420,9975.4,3166.626843520041,9503.5,78,2506,428.18333333333334,403.6659338589177,290.0,275,1631,523.55,219.08874643294507,508.0,11,113,39.25,23.6991203441129,34.0,1263,7995,2544.8,1331.0959903753076,2124.5,4669,13202,7430.6,2218.885376008506,6627.5
