avg_A_AS_min,avg_A_AS_max,avg_A_AS_avg,avg_A_AS_std,avg_A_AS_median,avg_A_prefix_min,avg_A_prefix_max,avg_A_prefix_avg,avg_A_prefix_std,avg_A_prefix_median,avg_editdist_min,avg_editdist_max,avg_editdist_avg,avg_editdist_std,avg_editdist_median,avg_interarrival_min,avg_interarrival_max,avg_interarrival_avg,avg_interarrival_std,avg_interarrival_median,avg_path_len_min,avg_path_len_max,avg_path_len_avg,avg_path_len_std,avg_path_len_median,editdist_10_min,editdist_10_max,editdist_10_avg,editdist_10_std,editdist_10_median,editdist_11_min,editdist_11_max,editdist_11_avg,editdist_11_std,editdist_11_median,editdist_12_min,editdist_12_max,editdist_12_avg,editdist_12_std,editdist_12_median,editdist_13_min,editdist_13_max,editdist_13_avg,editdist_13_std,editdist_13_median,editdist_14_min,editdist_14_max,editdist_14_avg,editdist_14_std,editdist_14_median,editdist_15_min,editdist_15_max,editdist_15_avg,editdist_15_std,editdist_15_median,editdist_16_min,editdist_16_max,editdist_16_avg,editdist_16_std,editdist_16_median,editdist_17_min,editdist_17_max,editdist_17_avg,editdist_17_std,editdist_17_median,editdist_7_min,editdist_7_max,editdist_7_avg,editdist_7_std,editdist_7_median,editdist_8_min,editdist_8_max,editdist_8_avg,editdist_8_std,editdist_8_median,editdist_9_min,editdist_9_max,editdist_9_avg,editdist_9_std,editdist_9_median,max_A_AS_min,max_A_AS_max,max_A_AS_avg,max_A_AS_std,max_A_AS_median,max_A_prefix_min,max_A_prefix_max,max_A_prefix_avg,max_A_prefix_std,max_A_prefix_median,max_editdist_min,max_editdist_max,max_editdist_avg,max_editdist_std,max_editdist_median,max_path_len_min,max_path_len_max,max_path_len_avg,max_path_len_std,max_path_len_median,nb_A_min,nb_A_max,nb_A_avg,nb_A_std,nb_A_median,nb_A_prefix_min,nb_A_prefix_max,nb_A_prefix_avg,nb_A_prefix_std,nb_A_prefix_median,nb_W_min,nb_W_max,nb_W_avg,nb_W_std,nb_W_median,nb_W_prefix_min,nb_W_prefix_max,nb_W_prefix_avg,nb_W_prefix_std,nb_W_prefix_median,nb_dup_A_min,nb_dup_A_max,nb_dup_A_avg,nb_dup_A_std,nb_dup_A_median,nb_dup_W_min,nb_dup_W_max,nb_dup_W_avg,nb_dup_W_std,nb_dup_W_median,nb_implicit_W_min,nb_implicit_W_max,nb_implicit_W_avg,nb_implicit_W_std,nb_implicit_W_median,nb_new_A_min,nb_new_A_max,nb_new_A_avg,nb_new_A_std,nb_new_A_median,nb_new_A_afterW_min,nb_new_A_afterW_max,nb_new_A_afterW_avg,nb_new_A_afterW_std,nb_new_A_afterW_median,nb_orign_change_min,nb_orign_change_max,nb_orign_change_avg,nb_orign_change_std,nb_orign_change_median,nb_tolonger_min,nb_tolonger_max,nb_tolonger_avg,nb_tolonger_std,nb_tolonger_median,nb_toshorter_min,nb_toshorter_max,nb_toshorter_avg,nb_toshorter_std,nb_toshorter_median
25,110,65.50847457627118,22.15647557040443,65.0,3,27,13.542372881355933,6.148512671000914,13.0,2,4,2.305084745762712,0.5648996642107031,2.0,1000,1000,1000.0,0.0,1000.0,6,7,6.1525423728813555,0.3626321077722929,6.0,0,3840,211.79661016949152,738.1552677442976,15.0,0,564,33.59322033898305,104.12610369395897,7.0,0,50,6.661016949152542,8.966624262905274,4.0,0,478,22.847457627118644,73.80538564577417,4.0,0,135,8.23728813559322,19.594456449554233,1.0,0,213,5.508474576271187,27.669460870684528,0.0,0,16,0.847457627118644,2.6183277061173724,0.0,0,56,3.0,8.930768202660685,0.0,82,555,172.35593220338984,89.01971163191784,143.0,15,360,106.30508474576271,81.74777319276319,78.0,0,673,53.49152542372882,109.46710620426764,28.0,764,13224,2377.4576271186443,1952.402907842767,1768.0,611,1021,794.1016949152543,80.33350632492673,794.0,11,24,15.88135593220339,3.5286255298272557,15.0,21,32,23.271186440677965,2.172163298574729,23.0,13968,47522,25084.305084745763,7913.714776291279,23593.0,620,13485,3032.3389830508477,3432.144230803876,1694.0,558,5230,1233.050847457627,934.1420814867735,882.0,94,1153,202.8135593220339,166.1935384627452,150.0,3645,28046,8703.22033898305,5908.757329147272,6433.0,0,0,0.0,0.0,0.0,9112,25873,15282.22033898305,3476.0154312373074,14930.0,110,2862,388.8305084745763,386.4699726276809,282.0,345,1928,710.0338983050848,342.8056635603093,580.0,0,419,44.74576271186441,70.10573128726375,29.0,2703,11919,4911.525423728814,1934.544438540329,4274.0,6409,15956,10370.694915254237,2456.7737763329264,10130.0
20,100,51.25423728813559,17.533803038052135,51.0,2,19,9.372881355932204,3.676103189260971,10.0,1,3,2.0677966101694913,0.3142811600693205,2.0,1000,1000,1000.0,0.0,1000.0,5,7,5.711864406779661,0.644628935168216,6.0,0,131,26.88135593220339,27.899502372130353,17.0,0,137,21.25423728813559,27.243849809185967,12.0,0,90,16.677966101694917,22.516232212191138,9.0,0,85,8.220338983050848,14.078680135789288,3.0,0,32,3.9152542372881354,6.422718662720318,2.0,0,46,1.7966101694915255,6.356586757646041,0.0,0,7,1.0677966101694916,1.874184022721033,0.0,0,44,1.847457627118644,6.551687224972147,0.0,9,822,141.40677966101694,113.01435957649404,128.0,12,307,75.13559322033899,57.93975992568033,59.0,1,162,35.52542372881356,28.09549965938427,34.0,698,16044,2221.237288135593,2464.6283999053703,1422.0,583,1021,804.9830508474577,94.82079131917179,814.0,9,26,16.271186440677965,3.836442804952923,16.0,16,33,23.983050847457626,4.337055752560513,23.0,7293,48982,21946.79661016949,10329.051838816273,19712.0,553,19296,3245.6271186440677,3819.7377365211382,1954.0,341,4843,1617.8135593220338,1140.6939580886153,1161.0,70,736,316.2881355932203,170.87049450180578,298.0,2137,34298,8386.627118644068,6539.9710584045515,6292.0,0,1,0.01694915254237288,0.13018891098082383,0.0,4728,34194,12230.983050847457,5266.935913175788,11583.0,114,2831,574.0508474576271,489.69964136118114,415.0,240,2149,755.1355932203389,514.4473250615694,555.0,0,105,25.423728813559322,20.823729327322805,21.0,1043,10838,3483.2881355932204,1831.434938180399,3009.0,3685,23356,8747.694915254237,3791.178868856408,7821.0
22,117,48.71186440677966,17.437623659141437,50.0,2,18,8.40677966101695,3.7970889215555497,8.0,1,3,1.9830508474576272,0.22678604710842012,2.0,1000,1008,1000.1355932203389,1.041511287846596,1000.0,5,6,5.271186440677966,0.44838824289303025,5.0,0,78,9.983050847457626,15.145833073732522,5.0,0,97,9.474576271186441,18.871942257190636,4.0,0,87,9.576271186440678,16.191955633447574,3.0,0,55,5.830508474576271,11.385339245582273,1.0,0,16,1.3559322033898304,2.670158925041643,0.0,0,3,0.23728813559322035,0.6522899463943574,0.0,0,7,0.1864406779661017,0.9908995611996906,0.0,0,5,0.3559322033898305,1.062896366058114,0.0,2,522,76.40677966101696,77.17783285554343,58.0,4,237,33.271186440677965,34.37261866784854,27.0,0,65,14.05084745762712,12.739327824000924,11.0,648,9255,2572.4745762711864,2330.8837702048895,1575.0,590,951,755.3559322033898,86.21240064252387,742.0,9,20,14.35593220338983,2.517269400899252,14.0,14,29,18.593220338983052,2.640001593963708,19.0,6351,47460,18490.050847457627,9637.140002532102,14994.0,786,15226,3160.0169491525426,3534.328397849541,1949.0,354,4511,1091.2711864406779,752.7354444477013,870.0,70,1521,266.79661016949154,220.45617123724796,236.0,1912,33795,7622.372881355932,6633.722284006232,5346.0,0,1,0.03389830508474576,0.182520824972938,0.0,4009,20848,9772.864406779661,3594.8811042524453,8740.0,86,5216,473.89830508474574,684.1682767120576,338.0,190,3113,620.9152542372881,468.2298024119616,472.0,0,122,30.52542372881356,25.28414791115612,23.0,792,6077,2316.9491525423728,1139.5451969933656,1972.0,3217,16779,7455.9152542372885,2855.017702029399,6730.0
19,81,44.23728813559322,14.905841233014069,42.0,3,16,7.559322033898305,3.395083597775679,7.0,1,2,1.9661016949152543,0.1825208249729381,2.0,1000,1000,1000.0,0.0,1000.0,5,6,5.11864406779661,0.3261449731971789,5.0,0,145,16.372881355932204,26.782584604671193,6.0,0,120,10.23728813559322,17.795135893960236,4.0,0,279,11.576271186440678,37.00568613802316,4.0,0,102,4.52542372881356,14.317045462162719,0.0,0,13,2.6779661016949152,3.559546067369777,1.0,0,84,7.322033898305085,16.750131937685314,0.0,0,72,6.694915254237288,15.243149096864666,0.0,0,60,2.76271186440678,8.391989166709353,0.0,5,199,56.79661016949152,42.960599294693324,42.0,2,79,29.593220338983052,19.068043897350964,26.0,2,194,24.593220338983052,29.35109622817249,20.0,523,11407,2699.7118644067796,2455.605586175599,1703.0,505,897,720.6610169491526,84.17686842748623,719.0,10,25,15.915254237288135,3.514934323186984,16.0,14,27,20.033898305084747,2.760347939680888,20.0,9478,50766,18702.0,9201.17356270571,16045.0,762,15992,3585.677966101695,3797.4031300926126,2297.0,383,2580,819.4067796610169,428.824661485404,710.0,73,1162,166.94915254237287,147.09478808001293,134.0,2581,35641,8215.237288135593,7257.184267637669,6247.0,0,0,0.0,0.0,0.0,5502,17392,9602.796610169491,3106.9271868079304,8653.0,77,1123,408.5593220338983,254.73036936218367,384.0,240,1987,475.40677966101697,296.25653600495883,397.0,1,674,51.40677966101695,89.60163149762856,33.0,989,6825,2434.169491525424,1226.485589728557,2139.0,4246,14668,7168.627118644068,2418.3216101847133,6208.0
16,127,47.016949152542374,23.293843737114194,44.0,3,19,8.11864406779661,3.9088085571750946,8.0,2,3,2.1186440677966103,0.3261449731971787,2.0,1000,1000,1000.0,0.0,1000.0,5,7,5.898305084745763,0.7811334658849429,6.0,1,350,47.067796610169495,71.26319948075431,20.0,0,1437,50.3728813559322,187.2095357784486,11.0,0,38,9.389830508474576,8.260869431475163,9.0,0,38,8.898305084745763,9.336053429016804,6.0,0,46,6.779661016949152,9.775175801594301,3.0,0,18,2.3559322033898304,3.6613673339266386,1.0,0,31,1.5084745762711864,5.639677422164024,0.0,0,67,3.3559322033898304,10.185795910980739,0.0,12,1496,131.35593220338984,196.2687955165379,89.0,12,4109,165.35593220338984,540.2387965843362,56.0,5,463,57.32203389830509,74.13627728437028,32.0,670,26440,3733.5593220338983,4454.235962468902,2764.0,528,904,706.9152542372881,68.05025732439964,707.0,11,31,18.203389830508474,4.122184142421675,18.0,16,36,23.93220338983051,4.342510027303296,23.0,11749,57726,25647.474576271186,11799.846823020893,21933.0,1318,14029,4044.6271186440677,3399.1329974604278,2622.0,529,4978,1434.2372881355932,880.8929900759415,1250.0,85,817,276.22033898305085,145.99457569004954,249.0,4574,37849,10879.389830508475,7726.25484957521,8200.0,0,0,0.0,0.0,0.0,6418,34708,13488.525423728814,5358.260678152206,12100.0,92,2691,477.0169491525424,417.3909310981082,374.0,300,1830,802.542372881356,418.4862425965138,700.0,0,118,34.813559322033896,24.76125628829984,32.0,1550,12930,3829.237288135593,2215.5847468128495,3118.0,4793,25247,9659.28813559322,3801.53776077273,8891.0
15,131,42.610169491525426,20.722315931309033,43.0,2,24,9.508474576271187,5.484689917856081,10.0,1,2,1.8305084745762712,0.3784060204413424,2.0,1000,1008,1000.4067796610169,1.7725750221737593,1000.0,4,6,5.0,0.5252257314388903,5.0,0,38,8.23728813559322,8.992983822749606,6.0,0,53,9.305084745762711,11.809193142002044,4.0,0,120,8.05084745762712,21.961112754306512,2.0,0,164,5.983050847457627,21.972939097918108,0.0,0,12,1.2881355932203389,2.3047989474559465,0.0,0,7,0.423728813559322,1.3416843483872012,0.0,0,14,0.5932203389830508,2.052069132966954,0.0,0,11,0.22033898305084745,1.4392023246872396,0.0,3,192,33.25423728813559,34.90508964979125,23.0,0,143,27.47457627118644,30.269112475855298,19.0,0,114,14.016949152542374,20.64268387173539,8.0,643,5954,1438.7457627118645,1038.1061269449774,855.0,615,936,757.9830508474577,72.52288379050074,742.0,9,29,13.610169491525424,2.994344952558949,14.0,15,24,19.23728813559322,2.6609499408970967,19.0,6299,41633,13130.694915254237,8203.136744992287,10066.0,458,11820,2617.7118644067796,3117.754646574377,1007.0,284,1900,588.7627118644068,285.9024031078855,532.0,42,238,98.03389830508475,40.649454380566475,90.0,1565,29580,5622.135593220339,6438.883128836454,3082.0,0,2,0.0847457627118644,0.3845344517644743,0.0,4249,14910,6936.8983050847455,2225.766134622315,6203.0,73,724,213.15254237288136,119.10395539905785,171.0,180,1045,358.50847457627117,138.95662593939358,325.0,0,570,36.74576271186441,74.19791641752042,25.0,695,4981,1451.9322033898304,774.8390681498116,1215.0,3554,11659,5484.966101694915,1814.0467998192723,4915.0
20,350,58.983050847457626,50.90948408540594,48.0,2,25,8.627118644067796,5.536394647473881,8.0,1,3,2.016949152542373,0.2931120430547886,2.0,1000,1000,1000.0,0.0,1000.0,4,7,5.271186440677966,0.6651551147736342,5.0,0,172,24.28813559322034,36.22965581201621,11.0,0,305,20.864406779661017,42.900228127003224,11.0,0,59,9.694915254237289,12.703860718217388,4.0,0,76,8.474576271186441,15.631925700644235,3.0,0,47,3.0677966101694913,6.75396283872549,1.0,0,120,6.915254237288136,20.779041277204445,0.0,0,14,1.4576271186440677,3.2764679989612926,0.0,0,13,1.9661016949152543,3.210790544478777,0.0,11,2679,140.52542372881356,384.2449988875275,62.0,2,6176,230.6271186440678,923.8151012626198,22.0,0,365,29.220338983050848,66.50747113764355,10.0,662,123404,6929.847457627118,18436.490372883694,2031.0,555,914,751.0677966101695,86.0949484694539,733.0,10,26,17.76271186440678,4.288472853539645,18.0,16,31,21.915254237288135,3.887593598355301,21.0,7728,189909,24949.5593220339,26799.728733361557,18280.0,533,15692,4234.762711864407,3967.7242905942735,3044.0,244,10603,1077.1525423728813,1700.4585468140883,649.0,45,4794,324.8474576271187,824.6914535576389,121.0,2031,63564,9663.0,10474.240655548489,6416.0,0,0,0.0,0.0,0.0,5054,115713,14215.983050847457,16096.050953349122,10268.0,45,4409,363.6779661016949,584.571651036716,206.0,191,9359,706.8983050847457,1288.8384866430124,388.0,0,250,48.83050847457627,47.97095117499285,35.0,803,46877,4075.64406779661,6748.2379967502,2110.0,4100,68836,10140.338983050848,9560.913315935537,7865.0
20,116,48.67796610169491,18.714221660108088,45.0,3,22,11.338983050847459,4.862276214127124,12.0,1,3,1.9661016949152543,0.2603778219616477,2.0,1000,1000,1000.0,0.0,1000.0,5,7,5.237288135593221,0.4675314133221595,5.0,0,91,9.711864406779661,15.23839394136836,5.0,0,38,6.271186440677966,7.809875508907972,4.0,0,35,4.779661016949152,6.341075174279824,3.0,0,29,3.135593220338983,4.907621191851696,1.0,0,16,1.7796610169491525,3.0175795084812336,0.0,0,15,0.7457627118644068,2.3678392619242046,0.0,0,31,0.9152542372881356,4.153470238301447,0.0,0,14,0.7457627118644068,2.3823577161188747,0.0,12,518,84.13559322033899,94.98156946937736,59.0,3,266,40.57627118644068,42.26036024367504,28.0,0,253,20.983050847457626,34.308183162492924,12.0,603,12064,2208.728813559322,2289.3568200103446,1552.0,572,1041,746.0677966101695,93.89775517987633,731.0,11,28,15.813559322033898,4.104138265933908,14.0,16,30,21.220338983050848,3.2540044115974243,21.0,7966,53913,16888.77966101695,10400.003108533681,13210.0,571,13449,2459.2033898305085,3424.103576521442,1164.0,336,5657,1034.4406779661017,848.0705336473562,746.0,61,824,188.135593220339,144.70844143181412,132.0,1986,34407,6604.271186440678,7338.258263306289,3715.0,0,0,0.0,0.0,0.0,5082,18612,9428.305084745763,3802.2125738894015,8428.0,103,1336,315.06779661016947,249.3164354380676,235.0,219,2176,541.1355932203389,390.1787591042182,414.0,0,120,27.76271186440678,24.029679194158362,21.0,959,7795,2344.0169491525426,1349.5764532459987,1949.0,4001,13991,7084.28813559322,2692.5481717001417,6173.0
14,75,38.71186440677966,15.04138067701741,38.0,3,21,9.016949152542374,4.925274455589982,8.0,1,2,1.9661016949152543,0.18252082497293798,2.0,1000,1000,1000.0,0.0,1000.0,5,6,5.322033898305085,0.47126674363748505,5.0,0,286,30.610169491525422,44.874544258238096,13.0,0,146,17.89830508474576,29.30499246348016,7.0,0,419,15.88135593220339,55.24431153295729,4.0,0,135,6.728813559322034,19.09218156324601,2.0,0,108,5.237288135593221,15.494536281798183,0.0,0,12,1.152542372881356,2.340155899036274,0.0,0,15,1.7457627118644068,3.848838697845611,0.0,1,33,15.88135593220339,7.615964959719793,15.0,2,407,71.64406779661017,68.6374188466201,49.0,0,283,48.932203389830505,49.307922146858694,31.0,0,187,29.93220338983051,32.935603001332275,20.0,639,7347,1482.4237288135594,1067.2241984569423,1118.0,564,1000,745.7627118644068,109.10013416709263,725.0,18,23,19.25423728813559,1.3845604349019824,19.0,20,31,23.11864406779661,2.512621558306369,22.0,7966,50242,17282.57627118644,10255.35589120579,13858.0,675,16191,3386.1525423728813,4074.2280200165837,1549.0,284,2795,856.271186440678,520.7403824168072,709.0,58,836,161.135593220339,119.26462284769987,124.0,2048,34951,6715.6949152542375,7214.056839097701,4236.0,0,1,0.03389830508474576,0.182520824972938,0.0,5061,31581,9826.830508474577,4643.943483099853,8508.0,85,813,289.0,134.6270711107616,259.0,239,1193,451.0508474576271,213.9653874465015,390.0,21,287,67.96610169491525,41.63717093543605,61.0,1024,8907,2440.9491525423728,1484.1839093186206,1971.0,4037,29204,7385.881355932203,3773.271369847188,6377.0
11,117,46.3728813559322,21.15289032593072,44.0,2,23,9.033898305084746,4.338941956263608,9.0,1,3,1.9830508474576272,0.22678604710842004,2.0,1000,1000,1000.0,0.0,1000.0,4,9,5.1525423728813555,0.6901663797913314,5.0,0,126,18.338983050847457,22.917851925497253,12.0,0,51,12.440677966101696,11.747738133639816,8.0,0,213,17.576271186440678,35.44943138974482,5.0,0,32,3.983050847457627,6.458065060446213,1.0,0,18,2.016949152542373,3.3911219048026022,1.0,0,22,1.7966101694915255,3.8362142842999805,0.0,0,12,0.7966101694915254,2.2188818325434436,0.0,0,63,2.152542372881356,8.827491460990672,0.0,12,348,85.27118644067797,74.90726002024438,61.0,3,463,58.67796610169491,75.60159656176903,34.0,0,172,28.949152542372882,35.75318829709267,18.0,626,26222,4299.9152542372885,6164.96665619569,2043.0,617,921,774.542372881356,82.62698107258251,779.0,10,26,16.694915254237287,3.55379465616847,17.0,16,28,21.033898305084747,3.005547180057036,21.0,7707,58340,22719.79661016949,13821.178874291469,17339.0,802,22118,3798.677966101695,4159.149276576998,1723.0,283,4350,972.0338983050848,673.1588418919415,802.0,39,1028,183.0677966101695,140.48264887421698,144.0,2019,41915,8538.983050847457,8083.212747867889,5353.0,0,0,0.0,0.0,0.0,5207,39666,13349.0,8771.701855870153,9828.0,83,977,304.4406779661017,170.93649467953162,255.0,162,2305,527.3728813559322,346.5508321327471,435.0,11,128,46.610169491525426,24.04451113015232,41.0,937,26863,3726.2203389830506,4330.581242615076,2290.0,4215,33198,9622.77966101695,5912.418292991736,7318.0
