avg_A_AS_min,avg_A_AS_max,avg_A_AS_avg,avg_A_AS_std,avg_A_AS_median,avg_A_prefix_min,avg_A_prefix_max,avg_A_prefix_avg,avg_A_prefix_std,avg_A_prefix_median,avg_editdist_min,avg_editdist_max,avg_editdist_avg,avg_editdist_std,avg_editdist_median,avg_interarrival_min,avg_interarrival_max,avg_interarrival_avg,avg_interarrival_std,avg_interarrival_median,avg_path_len_min,avg_path_len_max,avg_path_len_avg,avg_path_len_std,avg_path_len_median,editdist_10_min,editdist_10_max,editdist_10_avg,editdist_10_std,editdist_10_median,editdist_11_min,editdist_11_max,editdist_11_avg,editdist_11_std,editdist_11_median,editdist_12_min,editdist_12_max,editdist_12_avg,editdist_12_std,editdist_12_median,editdist_13_min,editdist_13_max,editdist_13_avg,editdist_13_std,editdist_13_median,editdist_14_min,editdist_14_max,editdist_14_avg,editdist_14_std,editdist_14_median,editdist_15_min,editdist_15_max,editdist_15_avg,editdist_15_std,editdist_15_median,editdist_16_min,editdist_16_max,editdist_16_avg,editdist_16_std,editdist_16_median,editdist_17_min,editdist_17_max,editdist_17_avg,editdist_17_std,editdist_17_median,editdist_7_min,editdist_7_max,editdist_7_avg,editdist_7_std,editdist_7_median,editdist_8_min,editdist_8_max,editdist_8_avg,editdist_8_std,editdist_8_median,editdist_9_min,editdist_9_max,editdist_9_avg,editdist_9_std,editdist_9_median,max_A_AS_min,max_A_AS_max,max_A_AS_avg,max_A_AS_std,max_A_AS_median,max_A_prefix_min,max_A_prefix_max,max_A_prefix_avg,max_A_prefix_std,max_A_prefix_median,max_editdist_min,max_editdist_max,max_editdist_avg,max_editdist_std,max_editdist_median,max_path_len_min,max_path_len_max,max_path_len_avg,max_path_len_std,max_path_len_median,nb_A_min,nb_A_max,nb_A_avg,nb_A_std,nb_A_median,nb_A_prefix_min,nb_A_prefix_max,nb_A_prefix_avg,nb_A_prefix_std,nb_A_prefix_median,nb_W_min,nb_W_max,nb_W_avg,nb_W_std,nb_W_median,nb_W_prefix_min,nb_W_prefix_max,nb_W_prefix_avg,nb_W_prefix_std,nb_W_prefix_median,nb_dup_A_min,nb_dup_A_max,nb_dup_A_avg,nb_dup_A_std,nb_dup_A_median,nb_dup_W_min,nb_dup_W_max,nb_dup_W_avg,nb_dup_W_std,nb_dup_W_median,nb_implicit_W_min,nb_implicit_W_max,nb_implicit_W_avg,nb_implicit_W_std,nb_implicit_W_median,nb_new_A_min,nb_new_A_max,nb_new_A_avg,nb_new_A_std,nb_new_A_median,nb_new_A_afterW_min,nb_new_A_afterW_max,nb_new_A_afterW_avg,nb_new_A_afterW_std,nb_new_A_afterW_median,nb_orign_change_min,nb_orign_change_max,nb_orign_change_avg,nb_orign_change_std,nb_orign_change_median,nb_tolonger_min,nb_tolonger_max,nb_tolonger_avg,nb_tolonger_std,nb_tolonger_median,nb_toshorter_min,nb_toshorter_max,nb_toshorter_avg,nb_toshorter_std,nb_toshorter_median
12,122,40.8,20.024391905534625,39.5,2,18,7.85,3.7679513833273717,8.0,1,3,2.0,0.26037782196164766,2.0,1000,1000,1000.0,0.0,1000.0,4,7,5.2,0.5142049977013227,5.0,0,1030,37.983333333333334,143.8813649335495,7.5,0,428,20.283333333333335,60.68481832502461,5.0,0,48,7.083333333333333,10.037711378472393,3.5,0,139,6.666666666666667,20.03358761601031,0.0,0,81,3.783333333333333,11.885173311011007,0.0,0,46,2.0,7.861081997377431,0.0,0,28,1.4166666666666667,4.640615340066797,0.0,0,33,1.05,4.652045294677258,0.0,21,1583,129.75,212.26946617727768,71.5,7,824,88.05,165.19905045485714,33.0,0,804,32.28333333333333,105.25322035681486,12.5,656,19503,2644.233333333333,3319.154626732264,1503.5,486,921,731.4166666666666,88.26064859491733,728.5,10,23,14.266666666666667,2.945071531844959,13.0,14,25,19.916666666666668,2.3813659850603095,19.0,7652,100333,20748.183333333334,18447.403630176057,13095.5,538,55852,5558.416666666667,10619.230295915218,1585.0,533,2345,891.3333333333334,401.9543218279387,780.0,63,1714,182.36666666666667,268.9481058044827,126.5,2113,42866,8939.183333333332,10227.559194036186,4293.0,0,0,0.0,0.0,0.0,4620,56769,10890.633333333333,9446.119176169412,7637.5,104,2541,400.01666666666665,380.6593962963485,284.0,328,1904,518.35,253.3484787696884,461.0,0,266,36.333333333333336,47.835405179642464,23.0,963,25008,3332.3166666666666,4493.23745158518,2048.0,3559,32343,7558.316666666667,5280.357777078633,5389.0
16,73,39.13333333333333,14.21203436894081,36.5,2,20,9.616666666666667,4.595840664386591,9.0,1,3,1.9833333333333334,0.22486656432518476,2.0,1000,1000,1000.0,0.0,1000.0,5,7,5.4,0.5272249061784875,5.0,0,249,21.433333333333334,40.2796860383076,9.5,0,114,16.25,24.337754029212324,9.0,0,33,8.85,8.003865591498878,6.0,0,30,4.266666666666667,5.510749638835074,2.0,0,26,4.316666666666666,5.703081732093435,2.5,0,13,1.15,2.21569899442553,0.0,0,42,4.283333333333333,7.848332796436185,1.0,0,44,5.05,10.18544158782441,0.0,15,547,88.86666666666666,90.28832660374184,61.5,2,346,54.2,58.89024551612222,30.0,2,218,29.333333333333332,31.68845518624087,23.0,524,6401,1600.1666666666667,1357.6658080424957,1012.0,524,961,734.15,84.49347081384154,730.5,10,23,16.233333333333334,2.506714147885442,16.5,16,30,20.883333333333333,2.5847772527488093,20.0,8315,43509,16429.2,6803.048859873822,15352.5,596,12874,2653.133333333333,3084.3118479072837,1703.5,332,2932,873.7166666666667,490.4074781574689,734.0,58,448,175.1,93.11278016743177,147.0,2189,31462,6378.75,5536.036961719586,4636.0,0,0,0.0,0.0,0.0,5310,14362,9224.1,2478.629314352209,9123.0,98,2221,397.85,373.5805599141404,285.5,200,974,428.5,180.60336727532643,380.5,0,129,26.533333333333335,24.276281698549816,19.0,1080,6123,2650.5833333333335,1285.6400673471408,2124.0,3924,9993,6573.516666666666,1670.5457394259292,6694.5
9,95,37.36666666666667,14.779700539002771,38.0,2,19,8.283333333333333,4.084246986450218,8.0,1,3,2.033333333333333,0.2581988897471611,2.0,1000,1000,1000.0,0.0,1000.0,4,6,5.133333333333334,0.3891175007353577,5.0,0,51,10.233333333333333,11.257188538232391,8.0,0,85,9.183333333333334,14.836386405790355,5.0,0,525,22.066666666666666,90.40771428511998,3.0,0,217,9.05,34.54666458427362,1.0,0,74,2.933333333333333,9.738733893741392,1.0,0,20,1.0666666666666667,3.112940005882861,0.0,0,12,1.25,2.94368038979916,0.0,0,13,0.7666666666666667,2.367625333010721,0.0,5,194,57.233333333333334,43.77615118337128,40.0,0,169,23.433333333333334,32.053116227396764,12.5,0,135,17.816666666666666,23.580005654508792,11.0,694,6142,1480.25,1133.3502850593318,1020.0,526,947,751.8833333333333,73.44826189326227,746.5,9,26,15.416666666666666,3.1905138349603575,15.0,15,31,20.65,3.2771680622870982,19.5,7301,50720,15431.816666666668,9379.915789603685,12878.0,550,18259,3183.0666666666666,4205.1467572152005,1347.5,328,3131,717.6,439.9223429158948,619.5,51,459,137.43333333333334,79.54049531829827,115.0,1797,34967,6070.266666666666,6913.366215973098,3608.5,0,181,3.0166666666666666,23.36699952211808,0.0,4543,22816,8689.616666666667,3581.705469591818,7709.5,51,1200,287.96666666666664,214.98182553586815,237.5,216,1083,383.96666666666664,154.0631574945001,350.5,46,198,88.18333333333334,34.35531768310902,78.0,1123,12752,2418.733333333333,1763.9381678185337,1932.0,3420,14552,6270.883333333333,2357.3280773206543,5540.0
9,158,41.983333333333334,24.015878692617743,37.5,1,23,8.5,4.799364364692969,8.0,1,3,1.9833333333333334,0.2248665643251847,2.0,1000,1000,1000.0,0.0,1000.0,4,8,5.3,0.6714517537598057,5.0,1,183,23.3,38.256626766162015,9.0,0,132,18.566666666666666,25.114224929018036,10.0,0,81,11.183333333333334,16.98502996576259,5.0,0,33,6.2,8.262227712890814,3.0,0,41,4.666666666666667,8.8675119600473,1.0,0,40,3.75,6.816294037582274,1.0,0,10,0.9833333333333333,2.012601543215003,0.0,0,16,1.3166666666666667,2.702739769176272,0.0,13,500,92.75,90.46127085899096,65.5,3,226,45.96666666666667,46.33041489812895,28.5,0,140,27.2,31.11204464566574,15.0,609,15967,2604.483333333333,2551.02606469796,1661.5,272,956,733.0,113.21166616533921,741.0,11,27,18.1,4.590705421957114,17.0,14,31,23.316666666666666,4.753202904685149,22.0,7489,478331,31788.833333333332,61467.54513084471,19296.0,565,464373,13379.983333333334,60534.10553619765,2241.5,314,5359,1073.8333333333333,819.8301429423268,910.5,50,3265,237.43333333333334,413.9169394556854,166.0,1794,468542,18081.75,60778.915784894416,6922.5,0,0,0.0,0.0,0.0,5313,80564,12601.183333333332,10340.32710280182,10254.0,85,1891,509.8,379.1071938209293,407.5,213,5082,596.1,673.1621483462225,441.5,46,190,79.65,28.465754030806433,71.5,1340,16337,3338.5666666666666,2513.5495555810276,2734.0,3782,64227,9262.616666666667,8226.116603597879,7466.0
20,145,45.93333333333333,21.941267261476675,41.5,3,16,8.633333333333333,3.298518756760459,8.5,2,2,2.0,0.0,2.0,1000,1000,1000.0,0.0,1000.0,5,7,5.3,0.4974511303823161,5.0,1,125,15.016666666666667,18.536717266162572,10.5,0,111,14.5,19.449630731538846,9.0,0,156,17.183333333333334,27.833336716397508,9.0,0,26,4.633333333333334,5.3582398661572475,2.5,0,37,4.283333333333333,7.3808999191033084,1.5,0,11,2.0,2.7121821847711174,0.5,0,882,23.633333333333333,125.90324058061638,0.0,0,13,1.4833333333333334,2.902317406432938,0.0,10,200,65.95,40.27045222037987,56.0,1,344,57.733333333333334,65.17638822396424,37.5,1,178,34.53333333333333,35.1391744627119,19.5,430,31267,3918.2833333333333,6641.616073735664,1440.5,430,1068,730.2,95.13483740531434,725.5,12,26,18.866666666666667,3.7392406854807843,20.0,15,32,23.366666666666667,4.2184689433476565,23.0,7501,74198,20296.266666666666,14368.26636142191,15390.5,820,13060,2961.0333333333333,2992.583317824968,1823.5,296,3639,889.5333333333333,591.0260101152643,757.5,74,1457,232.76666666666668,222.747053218475,168.0,2046,35213,7820.983333333334,7937.056375947682,4763.0,0,0,0.0,0.0,0.0,4995,41391,11567.25,7477.263638037105,9191.0,142,3292,389.03333333333336,427.7345116183385,295.5,212,2926,519.0,381.60726106157256,432.5,58,191,97.26666666666667,26.439484255250058,94.5,1009,14629,3241.4166666666665,2680.2947174888936,2531.5,3619,35827,8325.833333333334,5381.747250036629,6871.5
19,151,43.13333333333333,22.372400268753257,38.5,3,14,6.966666666666667,2.939887387827525,7.0,1,4,2.066666666666667,0.3620406694387851,2.0,1000,1000,1000.0,0.0,1000.0,3,6,5.083333333333333,0.5301636033600228,5.0,0,57,16.766666666666666,13.400438478364409,13.0,0,909,55.11666666666667,158.64843252059865,12.0,0,431,34.916666666666664,80.17740745787846,10.5,0,36,7.716666666666667,9.014285586377234,4.0,0,37,4.066666666666666,7.082723469924011,2.0,0,23,1.8,3.685978930754502,0.0,0,22,2.6166666666666667,4.388319112458478,0.0,0,61,2.8,10.212654164552218,0.0,12,950,131.35,151.68229788451063,85.0,5,439,69.65,80.74060264361566,41.0,2,241,46.2,48.65367058112829,28.0,735,37520,4619.2,7469.130042142837,1901.5,578,933,743.95,94.51148706078367,743.5,12,50,19.783333333333335,6.249316346790254,19.0,16,59,23.3,6.6950525624194555,21.5,8849,80077,26169.416666666668,16604.948214201922,20481.5,754,22409,5129.583333333333,4827.877377894833,3017.0,370,1984,897.2666666666667,346.34634701465444,846.5,70,784,223.8,141.10073334023656,182.5,2589,38730,9063.633333333333,7843.8989093795035,6085.0,0,0,0.0,0.0,0.0,5634,55042,16184.116666666667,11142.60845992728,11836.0,134,1289,405.65,233.98723889584596,349.5,247,1091,516.0166666666667,198.0017541153824,478.5,47,755,119.08333333333333,97.97929419216841,92.5,1161,36559,4756.466666666666,5637.370944718964,2678.5,3978,52451,11427.65,7665.133739753344,9412.5
17,91,47.96666666666667,18.39856909199105,43.5,2,19,8.666666666666666,3.7807122755817404,8.0,1,2,1.9833333333333334,0.12909944487358055,2.0,1000,1000,1000.0,0.0,1000.0,5,6,5.2,0.40337558727168843,5.0,0,81,14.383333333333333,16.414226639052846,10.0,0,103,16.5,21.436148781352287,10.0,0,28,5.933333333333334,6.75445030110197,3.0,0,21,3.35,4.028815698465666,2.0,0,37,1.8833333333333333,5.122537992072482,0.0,0,6,0.7,1.3314959090933036,0.0,0,4,0.2833333333333333,0.9222607937841727,0.0,0,6,0.7333333333333333,1.5278950477163538,0.0,6,348,90.65,86.37891005155664,53.5,4,257,54.1,59.25374907683915,32.5,0,100,24.4,25.217158538300122,14.0,639,9474,2657.9333333333334,1877.6471200267192,2136.5,612,985,781.7666666666667,89.49905153681071,763.0,11,55,16.0,6.3030796884794364,15.0,15,45,21.483333333333334,5.8207450937425245,20.0,7828,59778,19855.166666666668,10712.104525329369,15649.5,780,27665,3331.4666666666667,4306.970367280552,1846.0,359,2727,1074.25,491.33221268337275,940.0,70,571,219.73333333333332,108.07496874881112,193.0,2253,38102,8411.633333333333,7549.433623310319,5788.5,0,2,0.03333333333333333,0.2581988897471611,0.0,4585,21397,10399.583333333334,3922.478014291333,9435.0,127,2254,486.06666666666666,369.9454777358079,394.5,254,1956,557.8833333333333,300.0898787209167,511.0,0,273,39.3,46.745361412222735,27.5,1060,9769,2818.75,1336.9197157163874,2493.0,3525,16924,7580.833333333333,3019.572060636827,6754.5
22,96,47.53333333333333,17.645728985010205,45.5,2,21,7.483333333333333,3.666114493605729,7.0,1,4,2.0166666666666666,0.2906256644485449,2.0,1000,1000,1000.0,0.0,1000.0,4,6,4.95,0.46668684379302106,5.0,1,108,14.866666666666667,19.96986430164183,9.0,0,847,32.86666666666667,115.0356564717523,8.0,0,70,9.3,11.79816130460554,5.5,0,41,4.516666666666667,6.766046004209065,2.0,0,19,2.4833333333333334,3.9765911074886984,1.0,0,9,0.8166666666666667,1.952761336200149,0.0,0,5,0.9166666666666666,1.59757938363189,0.0,0,4,0.38333333333333336,0.8252717408997374,0.0,5,522,68.61666666666666,73.08344236571372,53.5,6,161,37.916666666666664,32.96649129074247,29.5,2,213,24.383333333333333,32.435642493325176,14.5,589,16774,4090.05,3220.545045064288,2860.5,585,1241,918.3833333333333,175.45370645086018,864.0,10,35,17.85,4.697005898099305,17.5,15,40,22.283333333333335,4.558812165639413,22.0,10171,52864,22575.066666666666,9184.977423307402,19121.0,858,15547,4182.183333333333,3851.556605822262,2566.5,343,5105,1165.5,807.7109631545185,951.0,72,426,194.75,91.5065293585886,171.0,3403,34379,9417.7,6508.140960053968,7085.5,0,0,0.0,0.0,0.0,6267,25126,11933.45,3890.383652489729,11471.0,125,4153,492.03333333333336,593.8277718319263,384.0,204,4116,731.8833333333333,559.1936716642799,603.0,4,172,42.8,32.486137852049644,36.5,1565,12975,3100.8333333333335,1660.702773094864,2828.0,4684,19466,8832.616666666667,2935.1469867139226,8554.5
16,80,43.25,15.312147609227768,41.5,2,14,7.2,2.8511074268294476,7.0,2,2,2.0,0.0,2.0,1000,1000,1000.0,0.0,1000.0,5,6,5.533333333333333,0.5030977485864634,6.0,0,65,10.366666666666667,10.825216428989457,7.0,0,105,11.916666666666666,19.41281392876283,5.0,0,469,14.9,60.706211113827635,3.5,0,237,9.5,31.13693103978411,2.0,0,47,4.316666666666666,8.530089646570607,0.5,0,16,1.9666666666666666,3.635823020933228,0.0,0,22,1.75,4.261077288787068,0.0,0,9,0.8166666666666667,2.0293746775597903,0.0,13,235,90.98333333333333,56.04704188407092,79.5,5,114,41.45,24.09122844803878,36.5,0,69,23.183333333333334,13.270959331635408,22.0,922,8076,2040.65,1664.540531350461,1316.5,608,1000,800.8833333333333,92.81822798528144,800.0,11,26,15.6,3.037617264249694,15.0,16,30,22.033333333333335,2.9398873878275253,22.5,11120,60204,22189.1,10869.187415560387,19556.5,948,22747,4211.116666666667,4304.153240969867,2723.5,293,2572,999.1666666666666,432.95559590170313,932.5,80,550,240.91666666666666,105.36736246792137,233.5,3061,37730,9528.583333333334,7777.492814812705,7103.0,0,1,0.016666666666666666,0.12909944487358055,0.0,6425,24740,11670.7,3717.8538473840626,11182.5,122,1234,416.15,203.61635785574958,388.5,248,1624,573.6666666666666,261.76769793772456,504.0,0,125,31.366666666666667,24.328936991599992,27.0,1325,6620,2857.233333333333,1104.479083698593,2602.5,4692,21201,8813.466666666667,3294.382107990257,8214.0
14,130,42.9,21.83815662426118,36.5,2,27,9.583333333333334,5.681643551502301,8.0,1,3,2.0166666666666666,0.34403718101522685,2.0,1000,1000,1000.0,0.0,1000.0,4,6,5.4,0.5272249061784879,5.0,0,91,15.55,18.9257469682199,8.5,0,107,14.316666666666666,20.744198018058675,8.5,0,522,33.15,89.4881537468337,8.5,0,182,12.116666666666667,26.888401927077968,3.5,0,77,5.05,11.87423503334504,1.0,0,60,3.2333333333333334,10.182015828296654,0.0,0,11,1.35,2.3348864887300707,0.0,0,8,0.43333333333333335,1.1983981776064228,0.0,7,807,118.51666666666667,164.16160822743907,74.5,2,346,55.68333333333333,60.04419041222795,36.5,2,174,32.833333333333336,39.426897240192524,18.0,573,8010,1763.5333333333333,1533.6171540320104,1130.0,573,1032,754.8,98.80091264246019,726.5,9,26,15.7,3.049312231429534,15.5,14,33,21.0,3.6822984715932923,21.0,5754,229808,22166.75,29102.469719080545,15872.0,477,149043,5448.416666666667,19167.333958084375,1754.0,322,4095,1013.6666666666666,661.2761587960739,893.0,74,626,212.18333333333334,122.96568236523562,221.0,1536,219098,11094.466666666667,28194.60887971717,5437.0,0,1,0.016666666666666666,0.12909944487358055,0.0,3722,29125,10080.816666666668,4682.203474070608,9411.0,71,2456,399.06666666666666,342.7574557122394,343.0,189,2332,592.4,378.4427144702263,530.0,0,106,27.4,26.916191334068856,19.0,860,12061,2511.65,1769.815214188442,1926.0,2862,17064,7569.166666666667,3234.2480024331676,7192.5
