avg_A_AS_min,avg_A_AS_max,avg_A_AS_avg,avg_A_AS_std,avg_A_AS_median,avg_A_prefix_min,avg_A_prefix_max,avg_A_prefix_avg,avg_A_prefix_std,avg_A_prefix_median,avg_editdist_min,avg_editdist_max,avg_editdist_avg,avg_editdist_std,avg_editdist_median,avg_interarrival_min,avg_interarrival_max,avg_interarrival_avg,avg_interarrival_std,avg_interarrival_median,avg_path_len_min,avg_path_len_max,avg_path_len_avg,avg_path_len_std,avg_path_len_median,editdist_10_min,editdist_10_max,editdist_10_avg,editdist_10_std,editdist_10_median,editdist_11_min,editdist_11_max,editdist_11_avg,editdist_11_std,editdist_11_median,editdist_12_min,editdist_12_max,editdist_12_avg,editdist_12_std,editdist_12_median,editdist_13_min,editdist_13_max,editdist_13_avg,editdist_13_std,editdist_13_median,editdist_14_min,editdist_14_max,editdist_14_avg,editdist_14_std,editdist_14_median,editdist_15_min,editdist_15_max,editdist_15_avg,editdist_15_std,editdist_15_median,editdist_16_min,editdist_16_max,editdist_16_avg,editdist_16_std,editdist_16_median,editdist_17_min,editdist_17_max,editdist_17_avg,editdist_17_std,editdist_17_median,editdist_7_min,editdist_7_max,editdist_7_avg,editdist_7_std,editdist_7_median,editdist_8_min,editdist_8_max,editdist_8_avg,editdist_8_std,editdist_8_median,editdist_9_min,editdist_9_max,editdist_9_avg,editdist_9_std,editdist_9_median,max_A_AS_min,max_A_AS_max,max_A_AS_avg,max_A_AS_std,max_A_AS_median,max_A_prefix_min,max_A_prefix_max,max_A_prefix_avg,max_A_prefix_std,max_A_prefix_median,max_editdist_min,max_editdist_max,max_editdist_avg,max_editdist_std,max_editdist_median,max_path_len_min,max_path_len_max,max_path_len_avg,max_path_len_std,max_path_len_median,nb_A_min,nb_A_max,nb_A_avg,nb_A_std,nb_A_median,nb_A_prefix_min,nb_A_prefix_max,nb_A_prefix_avg,nb_A_prefix_std,nb_A_prefix_median,nb_W_min,nb_W_max,nb_W_avg,nb_W_std,nb_W_median,nb_W_prefix_min,nb_W_prefix_max,nb_W_prefix_avg,nb_W_prefix_std,nb_W_prefix_median,nb_dup_A_min,nb_dup_A_max,nb_dup_A_avg,nb_dup_A_std,nb_dup_A_median,nb_dup_W_min,nb_dup_W_max,nb_dup_W_avg,nb_dup_W_std,nb_dup_W_median,nb_implicit_W_min,nb_implicit_W_max,nb_implicit_W_avg,nb_implicit_W_std,nb_implicit_W_median,nb_new_A_min,nb_new_A_max,nb_new_A_avg,nb_new_A_std,nb_new_A_median,nb_new_A_afterW_min,nb_new_A_afterW_max,nb_new_A_afterW_avg,nb_new_A_afterW_std,nb_new_A_afterW_median,nb_orign_change_min,nb_orign_change_max,nb_orign_change_avg,nb_orign_change_std,nb_orign_change_median,nb_tolonger_min,nb_tolonger_max,nb_tolonger_avg,nb_tolonger_std,nb_tolonger_median,nb_toshorter_min,nb_toshorter_max,nb_toshorter_avg,nb_toshorter_std,nb_toshorter_median
15,191,46.59322033898305,26.57333291495883,42.0,1,22,7.254237288135593,4.087800269848298,7.0,2,2,2.0,0.0,2.0,1000,1000,1000.0,0.0,1000.0,4,6,5.135593220338983,0.3920603014247216,5.0,0,99,11.694915254237289,15.229569963915521,7.0,1,115,19.135593220338983,23.51775384178327,12.0,0,453,23.64406779661017,78.94886225990375,3.0,0,19,3.7457627118644066,4.48980922849076,2.0,0,40,3.23728813559322,6.816154702820928,0.0,0,31,2.711864406779661,5.875286779376661,0.0,0,8,0.7288135593220338,1.6170482738041483,0.0,0,6,0.4067796610169492,1.0523970023777511,0.0,7,377,96.40677966101696,72.44263334292528,76.0,3,171,56.813559322033896,40.95475829214442,46.0,0,100,22.93220338983051,20.296818509635735,19.0,873,60233,4259.779661016949,7762.716463899063,2382.0,428,979,753.9830508474577,129.90467214732604,750.0,11,31,17.661016949152543,4.236988884815798,18.0,15,33,23.64406779661017,5.529740007183747,22.0,9982,106542,29041.372881355932,17881.311533802746,23130.0,895,40952,6892.796610169492,9408.992162269213,3228.0,337,14367,1463.5254237288136,2055.3484674425285,1004.0,88,13988,614.4237288135594,1985.4569803464758,223.0,2805,55253,12823.186440677966,11660.722364023914,7756.0,0,17,0.3559322033898305,2.2187501286209326,0.0,6532,49731,14718.610169491525,7599.789661374593,12574.0,80,11715,710.1016949152543,1496.3461785401,398.0,258,7212,789.4745762711865,1093.6333205694361,535.0,2,490,55.67796610169491,69.9039835769741,38.0,1132,17798,3874.423728813559,2698.8674010393233,3416.0,5034,31933,10844.186440677966,5327.126839225089,9228.0
11,85,40.96610169491525,18.141176350192683,37.0,2,18,6.966101694915254,3.633968580581325,6.0,2,3,2.016949152542373,0.13018891098082386,2.0,1000,1000,1000.0,0.0,1000.0,4,7,5.186440677966102,0.5715851000442856,5.0,0,215,30.64406779661017,42.05036500389552,15.0,0,144,24.050847457627118,30.282818463561473,11.0,0,55,11.59322033898305,11.784148681184774,9.0,0,31,5.169491525423729,6.916129429725854,2.0,0,33,3.6271186440677967,7.012054411646261,1.0,0,25,1.1016949152542372,3.43257677039114,0.0,0,36,1.2881355932203389,4.923731579904884,0.0,0,14,1.4067796610169492,3.363693803296878,0.0,24,504,141.74576271186442,104.66310373507926,104.0,16,376,90.37288135593221,79.65830006434267,55.0,2,168,38.440677966101696,38.81089039593835,22.0,667,17788,3385.9830508474574,3766.6318508327536,1884.0,562,898,724.2881355932203,71.09756551617028,716.0,9,29,17.0,5.065093524683735,15.0,13,31,24.033898305084747,5.122519927074267,25.0,9906,56911,22313.881355932204,11663.11740884818,17726.0,883,21308,4815.847457627118,4750.342092267778,2354.0,363,2942,937.0,549.9540733176005,738.0,76,489,176.23728813559322,79.76157120314808,146.0,2643,35246,9292.983050847457,7780.995717887058,6092.0,0,0,0.0,0.0,0.0,5677,36732,11988.254237288136,5424.791054591237,10712.0,115,5908,585.0338983050848,834.135996645666,318.0,253,1034,447.6101694915254,157.47063403839311,423.0,0,4835,280.8474576271187,801.4482540475328,47.0,1127,14391,3336.7457627118642,2332.904646448584,2728.0,4550,22341,8651.50847457627,3654.454411720132,7644.0
15,119,43.49152542372882,22.255857718932717,41.0,3,16,7.288135593220339,2.9597929066512414,7.0,1,2,1.9661016949152543,0.18252082497293798,2.0,1000,1008,1000.1355932203389,1.0415112878465889,1000.0,4,6,5.067796610169491,0.449689808019469,5.0,1,216,29.8135593220339,48.44245593601546,12.0,0,109,17.389830508474578,25.206059034282664,8.0,0,97,8.745762711864407,16.85392947156178,4.0,0,42,5.796610169491525,8.43592412822307,3.0,0,42,5.8474576271186445,10.266808857408076,1.0,0,9,0.9322033898305084,1.818149938618555,0.0,0,11,0.7288135593220338,2.091283292494861,0.0,0,5,0.6949152542372882,1.355121031471252,0.0,19,253,95.1864406779661,54.83815515907452,74.0,11,213,51.05084745762712,47.3349851403267,35.0,3,199,28.661016949152543,37.69414578597306,16.0,595,29746,3495.5423728813557,5315.151317539887,1532.0,560,903,727.6610169491526,81.35503506226563,720.0,10,29,15.728813559322035,3.512688863370545,15.0,14,32,22.915254237288135,4.720783597992663,22.0,9178,53485,20907.4406779661,11470.549324354728,16948.0,987,18149,3823.2203389830506,3766.956285585251,2107.0,284,2993,867.0,472.001424603344,695.0,60,640,191.38983050847457,118.96334076732423,151.0,2809,37464,8537.627118644068,7696.398980845222,5938.0,0,1,0.01694915254237288,0.13018891098082386,0.0,5573,30316,11489.898305084746,4910.066428706175,9930.0,89,1415,398.59322033898303,258.59988523373113,338.0,196,1983,481.3220338983051,292.12316962246365,390.0,0,171,48.49152542372882,38.049592358755255,41.0,1060,9403,2903.5254237288136,1624.3350189086098,2513.0,4513,20913,8586.372881355932,3780.844636970299,7152.0
20,112,53.13559322033898,18.477813002325753,52.0,2,26,9.627118644067796,4.574661491470485,9.0,1,2,1.9322033898305084,0.2535545088414485,2.0,1000,1000,1000.0,0.0,1000.0,5,7,5.305084745762712,0.5001460920411014,5.0,0,151,29.45762711864407,27.843356190077515,25.0,0,78,15.474576271186441,18.76290905704325,9.0,0,34,4.830508474576271,6.861065922949939,3.0,0,34,3.9152542372881354,6.853864089073429,1.0,0,18,2.169491525423729,3.7238862828154056,0.0,0,32,1.6271186440677967,5.7502572808549814,0.0,0,14,0.3898305084745763,1.9029645579222851,0.0,0,28,0.711864406779661,3.7372811778065547,0.0,5,322,86.35593220338983,77.31279117791222,62.0,1,199,34.42372881355932,34.575356676461055,24.0,1,133,23.915254237288135,21.747206031876136,19.0,604,9321,1943.2372881355932,1752.1888807311946,1279.0,575,935,730.3728813559322,83.63547719121907,724.0,9,26,14.796610169491526,3.666153020006352,14.0,13,31,20.033898305084747,3.9869014054859755,19.0,7377,54359,18034.28813559322,9100.882365426967,16704.0,559,13432,2749.0677966101694,3162.721726529589,1521.0,233,5866,938.6101694915254,885.4656678044136,632.0,41,765,208.11864406779662,156.01669724365854,145.0,2004,28150,7231.762711864407,5724.4542108125115,5687.0,0,0,0.0,0.0,0.0,4902,23465,9933.457627118643,4168.368316847459,9724.0,67,2737,358.6271186440678,376.1834153847298,275.0,166,2135,510.4406779661017,358.29342969841025,381.0,0,779,58.88135593220339,138.98847443481043,19.0,669,7365,2313.2881355932204,1375.2792700825817,1955.0,3724,17121,7620.169491525424,3043.6969305862376,7280.0
13,103,45.779661016949156,20.587130057903657,47.0,2,20,9.915254237288135,5.360417301026621,11.0,1,2,1.9152542372881356,0.2808936228404366,2.0,1000,1000,1000.0,0.0,1000.0,4,6,5.016949152542373,0.4731233499485211,5.0,0,91,10.169491525423728,16.2259397925294,5.0,0,67,9.152542372881356,13.125145068915243,6.0,0,24,4.88135593220339,5.7627960938596345,3.0,0,21,2.559322033898305,3.9272311314746142,1.0,0,18,1.6101694915254237,3.3631725024331045,0.0,0,10,0.6949152542372882,1.7641471250724037,0.0,0,81,2.0,10.864367572878812,0.0,0,10,0.3389830508474576,1.5931985772666026,0.0,2,467,59.28813559322034,82.00421579731753,35.0,2,421,38.47457627118644,63.0463310568597,15.0,0,100,18.25423728813559,19.595560035761604,13.0,533,17988,2011.3050847457628,3055.431451300191,941.0,520,925,743.8983050847457,97.17167440886548,773.0,8,29,13.847457627118644,3.4780769524216515,13.0,14,31,19.694915254237287,3.696476594925533,19.0,7231,45404,15344.389830508475,9654.7012329298,11074.0,493,11795,2813.423728813559,3282.3519280277123,1022.0,295,6109,714.8813559322034,912.8429272436848,481.0,53,656,124.66101694915254,129.5035094943831,87.0,1764,33063,6271.220338983051,6580.022120463281,3253.0,0,0,0.0,0.0,0.0,4278,30057,8320.49152542373,4441.865185167465,6949.0,55,2539,351.3728813559322,481.916429237623,170.0,209,2223,401.3050847457627,396.71036313043146,306.0,0,141,25.152542372881356,25.37634899374778,21.0,759,11929,1976.0338983050847,1937.4245076825632,1423.0,3449,18128,6344.457627118644,2733.3487628512535,5145.0
19,160,50.23728813559322,22.934944714795343,46.0,3,30,11.491525423728813,5.411905398910468,11.0,1,3,2.0,0.18569533817705186,2.0,1000,1000,1000.0,0.0,1000.0,5,7,5.305084745762712,0.5001460920411015,5.0,0,91,9.694915254237289,15.278172662543367,5.0,0,34,7.406779661016949,7.970027136344138,4.0,0,36,6.254237288135593,8.266244655304137,3.0,0,36,4.610169491525424,7.761569671392556,1.0,0,21,2.830508474576271,4.331729535818074,1.0,0,19,1.5254237288135593,3.984261850051031,0.0,0,34,1.1694915254237288,4.616882596450736,0.0,0,14,1.3220338983050848,3.4312995324788704,0.0,11,527,89.59322033898304,109.95533868333929,52.0,2,202,42.779661016949156,37.313244295867776,32.0,2,283,23.508474576271187,38.3578310492835,13.0,650,12468,2285.084745762712,2336.225339628418,1607.0,594,1036,754.3898305084746,85.10095768113682,745.0,9,28,16.576271186440678,4.553147413983629,15.0,16,30,21.71186440677966,3.378690051492754,21.0,7743,51173,16131.254237288136,9692.337895602115,12625.0,538,13578,2296.6271186440677,3358.39254394895,1135.0,307,5503,1028.5762711864406,871.799114858816,795.0,58,672,175.23728813559322,123.89599907027848,130.0,1980,27455,5945.559322033899,6331.035635363917,3663.0,0,0,0.0,0.0,0.0,4863,22272,9303.033898305084,3807.631062639331,8187.0,105,1914,383.1525423728813,382.6697871335078,233.0,208,2357,499.50847457627117,344.4936000046803,382.0,0,107,29.050847457627118,23.227082682917548,24.0,868,7713,2384.3898305084745,1431.3418350835398,1940.0,3957,15640,6918.64406779661,2615.2002149417626,5928.0
18,69,39.186440677966104,14.824809792663837,40.0,3,20,9.169491525423728,4.842885084729191,10.0,1,2,1.9830508474576272,0.13018891098082383,2.0,1000,1000,1000.0,0.0,1000.0,5,6,5.288135593220339,0.45678212785962796,5.0,0,321,30.25423728813559,49.424129671697735,15.0,0,129,17.88135593220339,29.114568426845562,7.0,0,473,15.88135593220339,61.31436371789035,4.0,0,160,6.728813559322034,21.296616623364653,2.0,0,108,5.237288135593221,16.169723712320746,0.0,0,14,1.152542372881356,2.5107600121658034,0.0,0,15,1.7457627118644068,3.7627632011914858,0.0,1,37,15.966101694915254,7.6945258232494265,17.0,1,479,71.44067796610169,75.92879404448404,51.0,0,298,48.83050847457627,51.02877908165727,31.0,0,205,29.8135593220339,33.79373262454158,18.0,606,8123,1486.1864406779662,1169.0857830325526,1173.0,597,984,746.3220338983051,97.06884167114667,720.0,18,23,19.28813559322034,1.3397226611816697,19.0,20,31,23.338983050847457,2.6169880653511837,23.0,7718,51609,17286.491525423728,10668.95716613662,13331.0,669,20054,3335.7966101694915,4252.54520047198,1482.0,281,2857,851.0508474576271,527.5635743265128,693.0,59,836,161.76271186440678,115.5834284421864,128.0,1868,34042,6731.372881355932,7235.267385136801,4314.0,0,1,0.03389830508474576,0.182520824972938,0.0,5068,32484,9817.322033898305,4924.2636993476535,8467.0,85,811,289.49152542372883,131.8739435821528,249.0,228,1195,448.3050847457627,213.78447527884552,371.0,17,260,68.01694915254237,39.37288211071506,64.0,1022,8832,2433.9322033898306,1526.178107566095,2031.0,4046,30023,7383.389830508475,3946.9779492187354,6254.0
17,91,43.42372881355932,16.36565304683342,42.0,3,17,9.084745762711865,3.9622709249273758,9.0,2,3,2.016949152542373,0.13018891098082386,2.0,1000,1000,1000.0,0.0,1000.0,5,7,5.4576271186440675,0.5356927161614684,5.0,1,154,30.11864406779661,35.99668794427254,14.0,0,120,22.491525423728813,29.1413753026434,14.0,0,68,17.28813559322034,19.724001524012017,9.0,0,47,5.0508474576271185,7.711218269538708,3.0,0,25,5.084745762711864,7.0961090251149574,2.0,0,16,2.2203389830508473,3.538301738610504,1.0,0,6,0.7796610169491526,1.509370691085955,0.0,0,3,0.3559322033898305,0.6888949638271721,0.0,9,1393,129.52542372881356,189.31294616023774,82.0,9,320,71.94915254237289,66.64792304206605,47.0,4,157,39.03389830508475,36.02535797601218,26.0,751,12051,2143.3050847457625,1937.3606312876682,1556.0,626,1035,797.1525423728814,84.47644306598183,792.0,12,25,17.35593220338983,3.7909270627808676,16.0,16,31,21.847457627118644,3.2947898228296535,22.0,10182,54306,22214.542372881355,9216.642174708848,19252.0,792,13750,3516.508474576271,3541.9191728004007,2264.0,474,4108,1068.0169491525423,711.0988459231884,831.0,65,628,207.9322033898305,134.46212957516678,161.0,2760,35938,8759.152542372882,6969.217169746416,6048.0,0,0,0.0,0.0,0.0,6777,26856,12515.762711864407,3962.5666548901977,11544.0,89,919,400.1864406779661,190.08559547235112,344.0,318,1261,539.4406779661017,207.9971212654272,476.0,16,593,90.08474576271186,125.8794289205559,39.0,1401,7936,3408.3898305084745,1645.2424411738302,3035.0,5339,21376,9107.372881355932,2932.204078012642,8755.0
20,98,50.101694915254235,17.485654134918953,46.0,3,24,10.76271186440678,4.3720861549815035,11.0,1,5,2.0508474576271185,0.4324640233615342,2.0,1000,1000,1000.0,0.0,1000.0,5,8,5.423728813559322,0.621549505074948,5.0,0,129,24.084745762711865,31.112858044707355,12.0,0,130,12.23728813559322,18.39728145495382,7.0,0,175,14.94915254237288,26.561200461558357,7.0,0,18,4.101694915254237,4.40099877086788,3.0,0,3060,70.05084745762711,410.821020838835,1.0,0,837,20.491525423728813,112.34895958595592,0.0,0,27,2.5762711864406778,4.864379287866482,0.0,0,47,4.11864406779661,9.817445320067096,0.0,7,750,118.96610169491525,125.91677137638001,78.0,2,309,49.32203389830509,56.708097298712204,34.0,0,757,84.62711864406779,147.46021068294354,35.0,641,11702,2598.7966101694915,2367.8782571487845,1782.0,608,999,777.457627118644,95.27298745762062,775.0,11,29,16.796610169491526,3.951340501551991,16.0,15,33,22.440677966101696,4.391493291073166,22.0,8931,65830,20603.98305084746,12412.90069671889,17227.0,591,13748,2923.2203389830506,3595.532937658351,1562.0,388,6787,1175.0338983050847,981.7153524896368,947.0,60,885,209.25423728813558,139.5547838565668,167.0,2379,39108,7552.28813559322,7828.775044118239,5216.0,0,2,0.1016949152542373,0.35694659381449295,0.0,5808,31802,12018.135593220339,6052.1084939611565,9840.0,95,2641,448.3220338983051,472.40176649637476,291.0,283,2022,585.2372881355932,330.3850595156199,464.0,0,144,32.33898305084746,26.242641115960247,29.0,1267,8169,3157.35593220339,1760.2431235163556,2683.0,4517,24993,8860.77966101695,4580.654531109315,7650.0
9,96,37.728813559322035,19.244193489228056,39.0,1,16,7.1525423728813555,4.4520958230928915,8.0,1,3,1.9152542372881356,0.3845344517644742,2.0,1000,1000,1000.0,0.0,1000.0,5,6,5.101694915254237,0.3048411261871976,5.0,0,427,144.11864406779662,129.18378844936288,156.0,0,395,38.067796610169495,70.58373955727306,14.0,0,145,18.0,30.71223501001425,4.0,0,128,10.898305084745763,23.314709664349344,3.0,0,63,5.322033898305085,10.271219713968941,2.0,0,77,3.5084745762711864,11.449097060250303,0.0,0,10,0.7288135593220338,1.7402983144453281,0.0,0,112,4.0,20.412132970706246,0.0,4,396,114.32203389830508,106.06787688144213,73.0,3,373,67.98305084745763,73.55961493341671,47.0,3,205,61.76271186440678,44.50778273014145,60.0,601,10734,2097.2542372881358,1879.1674384777914,1490.0,482,933,739.2881355932203,95.77776915185193,751.0,9,20,14.830508474576272,2.646745186417365,14.0,15,31,21.11864406779661,4.398607717663238,20.0,9150,321627,38388.779661016946,54803.643112311875,20582.0,636,262114,20510.237288135595,47791.37991251898,2897.0,360,6211,1076.7966101694915,1280.1294220623513,651.0,61,5577,391.0,1030.6469009717919,102.0,2430,96256,10182.322033898305,14789.277929309741,5164.0,0,0,0.0,0.0,0.0,5964,267769,27243.28813559322,44000.35671095643,10375.0,65,4527,485.22033898305085,805.9770268779722,233.0,250,1635,477.9491525423729,276.6973588678465,385.0,0,533,79.45762711864407,98.64798476259224,51.0,968,24613,4231.796610169492,5293.241115766736,2490.0,4911,263513,23011.491525423728,43326.07544733344,8437.0
